Title,Link,Description
Encoding Musical Style with Transformer Autoencoders. ,http://arxiv.org/abs/1912.05537,"We consider the problem of learning high-level controls over the global
structure of sequence generation, particularly in the context of symbolic music
generation with complex language models. In this work, we present the
Transformer autoencoder, which aggregates encodings of the input data across
time to obtain a global representation of style from a given performance. We
show it is possible to combine this global embedding with other temporally
distributed embeddings, enabling improved control over the separate aspects of
performance style and and melody. Empirically, we demonstrate the effectiveness
of our method on a variety of music generation tasks on the MAESTRO dataset and
a YouTube dataset with 10,000+ hours of piano performances, where we achieve
improvements in terms of log-likelihood and mean listening scores as compared
to relevant baselines.
"
"Taking Ethics, Fairness, and Bias Seriously in Machine Learning for Disaster Risk Management. ",http://arxiv.org/abs/1912.05538,"This paper highlights an important, if under-examined, set of questions about
the deployment of machine learning technologies in the field of disaster risk
management (DRM). While emerging tools show promising capacity to support
scientific efforts to better understand and mitigate the threats posed by
disasters and climate change, our field must undertake a much more careful
assessment of the potential negative impacts that machine learning technologies
may create. We also argue that attention to these issues in the context of
machine learning affords the opportunity to have discussions about potential
ethics, bias, and fairness concerns within disaster data more broadly. In what
follows, we first describe some of the uses and potential benefits of
machine-learning technology in disaster risk management. We then draw on
research from other fields to speculate about potential negative impacts.
Finally, we outline a research agenda for how our disaster risk management can
begin to take these issues seriously and ensure that deployments of
machine-learning tools are conducted in a responsible and beneficial manner.
"
Deep One-bit Compressive Autoencoding. ,http://arxiv.org/abs/1912.05539,"Parameterized mathematical models play a central role in understanding and
design of complex information systems. However, they often cannot take into
account the intricate interactions innate to such systems. On the contrary,
purely data-driven approaches do not need explicit mathematical models for data
generation and have a wider applicability at the cost of interpretability. In
this paper, we consider the design of a one-bit compressive autoencoder, and
propose a novel hybrid model-based and data-driven methodology that allows us
to not only design the sensing matrix for one-bit data acquisition, but also
allows for learning the latent-parameters of an iterative optimization
algorithm specifically designed for the problem of one-bit sparse signal
recovery. Our results demonstrate a significant improvement compared to
state-of-the-art model-based algorithms.
"
Fundamental Entropic Laws and $\mathcal{L}_p$ Limitations of Feedback Systems: Implications for Machine-Learning-in-the-Loop Control. ,http://arxiv.org/abs/1912.05541,"In this paper, we study the fundamental performance limitations for generic
feedback systems in which both the controller and the plant may be arbitrarily
causal while the disturbance can be with any distributions. In particular, we
obtain fundamental $\mathcal{L}_p$ bounds based on the entropic laws that are
inherent in any feedback systems. We also examine the implications of the
generic bounds for machine-learning-in-the-loop control; in other words,
fundamental limits in general exist to what machine learning elements in
feedback loops can achieve.
"
Forging quantum data: classically defeating an IQP-based quantum test. ,http://arxiv.org/abs/1912.05547,"In 2009, Shepherd and Bremner proposed a ""test of quantum capability""
<a href=""/abs/0809.0847"">arXiv:0809.0847</a> that is attractive because the quantum machine's output can be
verified efficiently by classical means. While follow-up papers gave evidence
that directly simulating the quantum prover is classically hard, the security
of the protocol against other (non-simulating) classical attacks has remained
an open question. In this paper, I demonstrate that the protocol is not secure
against classical provers. I describe a classical algorithm that can not only
convince the verifier that the (classical) prover is quantum, but can in fact
can extract the secret key underlying a given protocol instance. Furthermore, I
show that the algorithm is efficient in practice for problem sizes of hundreds
of qubits. Finally, I provide an implementation of the algorithm, and give the
secret vector underlying the ""$25 challenge"" posted online by the authors of
the original paper.
"
Neural Voice Puppetry: Audio-driven Facial Reenactment. ,http://arxiv.org/abs/1912.05566,"We present Neural Voice Puppetry, a novel approach for audio-driven facial
video synthesis. Given an audio sequence of a source person or digital
assistant, we generate a photo-realistic output video of a target person that
is in sync with the audio of the source input. This audio-driven facial
reenactment is driven by a deep neural network that employs a latent 3D face
model space. Through the underlying 3D representation, the model inherently
learns temporal stability while we leverage neural rendering to generate
photo-realistic output frames. Our approach generalizes across different
people, allowing us to synthesize videos of a target actor with the voice of
any unknown source actor or even synthetic voices that can be generated
utilizing standard text-to-speech approaches. Neural Voice Puppetry has a
variety of use-cases, including audio-driven video avatars, video dubbing, and
text-driven video synthesis of a talking head. We demonstrate the capabilities
of our method in a series of audio- and text-based puppetry examples. Our
method is not only more general than existing works since we are generic to the
input person, but we also show superior visual and lip sync quality compared to
photo-realistic audio- and video-driven reenactment techniques.
"
Representation of Federated Learning via Worst-Case Robust Optimization Theory. ,http://arxiv.org/abs/1912.05571,"Federated learning (FL) is a distributed learning approach where a set of
end-user devices participate in the learning process by acting on their
isolated local data sets. Here, we process local data sets of users where
worst-case optimization theory is used to reformulate the FL problem where the
impact of local data sets in training phase is considered as an uncertain
function bounded in a closed uncertainty region. This representation allows us
to compare the performance of FL with its centralized counterpart, and to
replace the uncertain function with a concept of protection functions leading
to more tractable formulation. The latter supports applying a regularization
factor in each user cost function in FL to reach a better performance. We
evaluated our model using the MNIST data set versus the protection function
parameters, e.g., regularization factors.
"
Object Recognition with Human in the Loop Intelligent Frameworks. ,http://arxiv.org/abs/1912.05575,"Classifiers embedded within human in the loop visual object recognition
frameworks commonly utilise two sources of information: one derived directly
from the imagery data of an object, and the other obtained interactively from
user interactions. These computer vision frameworks exploit human high-level
cognitive power to tackle particularly difficult visual object recognition
tasks. In this paper, we present innovative techniques to combine the two
sources of information intelligently for the purpose of improving recognition
accuracy. We firstly employ standard algorithms to build two classifiers for
the two sources independently, and subsequently fuse the outputs from these
classifiers to make a conclusive decision. The two fusion techniques proposed
are: i) a modified naive Bayes algorithm that adaptively selects an individual
classifier's output or combines both to produce a definite answer, and ii) a
neural network based algorithm which feeds the outputs of the two classifiers
to a 4-layer feedforward network to generate a final output. We present
extensive experimental results on 4 challenging visual recognition tasks to
illustrate that the new intelligent techniques consistently outperform
traditional approaches to fusing the two sources of information.
"
The Rise of Multiple Institutional Affiliations. ,http://arxiv.org/abs/1912.05576,"The affiliation to an institution provides prestige and identity to
researchers and determines access to resources and infrastructure. Institutions
in turn seek to affiliate researchers to secure their knowledge and skills,
benefiting the research conducted within these institutions and their position
in national and international rankings. This study documents the phenomenon of
researchers having multiple affiliations and discusses potential causes and
consequences. We analyze affiliation information of 8.5M authors from 40
countries, who published 8.9M scientific articles in 14 disciplines since 1996.
We find that multiple affiliations occur both within countries as well as
across borders, and that more than 60% are within the academic research sector.
The share of authors with multiple affiliations increased substantially over
the past two decades and particularly since the mid-2000s. The increase is
particularly pronounced in countries whose funding structures became more
competitive. The rise of multiple affiliations points to fundamental changes in
the organisation of science and challenges our measurements of where scientific
activity takes place.
"
Peek Inside the Closed World: Evaluating Autoencoder-Based Detection of DDoS to Cloud. ,http://arxiv.org/abs/1912.05590,"Machine-learning-based anomaly detection (ML-based AD) has been successful at
detecting DDoS events in the lab. However published evaluations of ML-based AD
have only had limited data and have not provided insight into why it works. To
address limited evaluation against real-world data, we apply autoencoder, an
existing ML-AD model, to 57 DDoS attack events captured at 5 cloud IPs from a
major cloud provider. To improve our understanding for why ML-based AD works or
not works, we interpret this data with feature attribution and counterfactual
explanation. We show that our version of autoencoders work well overall: our
models capture nearly all malicious flows to 2 of the 4 cloud IPs under attacks
(at least 99.99%) but generate a few false negatives (5% and 9%) for the
remaining 2 IPs. We show that our models maintain near-zero false positives on
benign flows to all 5 IPs. Our interpretation of results shows that our models
identify almost all malicious flows with non-whitelisted (non-WL) destination
ports (99.92%) by learning the full list of benign destination ports from
training data (the normality). Interpretation shows that although our models
learn incomplete normality for protocols and source ports, they still identify
most malicious flows with non-WL protocols and blacklisted (BL) source ports
(100.0% and 97.5%) but risk false positives. Interpretation also shows that our
models only detect a few malicious flows with BL packet sizes (8.5%) by
incorrectly inferring these BL sizes as normal based on incomplete normality
learned. We find our models still detect a quarter of flows (24.7%) with
abnormal payload contents even when they do not see payload by combining
anomalies from multiple flow features. Lastly, we summarize the implications of
what we learn on applying autoencoder-based AD in production.
"
